"motif_id","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","motif_name","ic_score"
"MA0635.2",1.2777850353165e-15,-2.48089755993492,0.389,0.762,8.80393889333068e-13,"BARHL2",8.02506856168212
"MA0877.4",1.2777850353165e-15,-2.48089755993492,0.389,0.762,8.80393889333068e-13,"BARHL1",9.6805199479539
"MA0801.1",1.95207882972176e-15,5.62935819052555,0.564,0.228,1.34498231367829e-12,"MGA",10.8283507912016
"MA0803.1",1.95207882972176e-15,5.62935819052555,0.564,0.228,1.34498231367829e-12,"TBX15",13.2937444914944
"MA1638.2",9.31924206533837e-15,2.04982028538887,0.791,0.515,6.42095778301813e-12,"HAND2",11.0586189303396
"MA0772.2",2.07164169671005e-14,-3.7324673677151,0.338,0.644,1.42736112903322e-11,"IRF7",17.2547935514417
"MA0522.4",2.56660210870521e-14,3.38976013145733,0.679,0.347,1.76838885289789e-11,"TCF3",10.1095259319981
"MA1558.2",2.56660210870521e-14,3.38976013145733,0.679,0.347,1.76838885289789e-11,"SNAI1",10.7116753721016
"MA1648.2",2.56660210870521e-14,3.38976013145733,0.679,0.347,1.76838885289789e-11,"TCF12",9.53116470001698
"MA0471.3",1.44243080488696e-13,-3.26785960498606,0.38,0.693,9.93834824567118e-11,"E2F6",11.2746994080866
"MA1632.2",1.64656317915895e-13,5.20361554212035,0.623,0.327,1.13448203044052e-10,"ATF2",13.7129682956295
"MA0653.1",1.83269120891841e-13,-4.66494662549652,0.318,0.663,1.26272424294478e-10,"IRF9",24.7480896572174
"MA1583.2",3.89088239907545e-13,-2.11345716217474,0.444,0.792,2.68081797296298e-10,"ZFP57",11.2683769388972
"MA0507.3",4.28589110939992e-13,-2.51860573106777,0.386,0.733,2.95297897437655e-10,"POU2F2",17.930529683505
"MA0666.3",4.42352429224126e-13,-4.19863881398905,0.351,0.624,3.04780823735423e-10,"MSX1",9.99817607912978
"MA0700.3",4.42352429224126e-13,-4.19863881398905,0.351,0.624,3.04780823735423e-10,"LHX2",10.0484003644397
"MA0708.3",4.42352429224126e-13,-4.19863881398905,0.351,0.624,3.04780823735423e-10,"MSX2",9.70419290504437
"MA0718.2",4.42352429224126e-13,-4.19863881398905,0.351,0.624,3.04780823735423e-10,"RAX",9.02559840086168
"MA0875.2",4.42352429224126e-13,-4.19863881398905,0.351,0.624,3.04780823735423e-10,"BARX1",8.73670989920316
"MA0876.2",4.42352429224126e-13,-4.19863881398905,0.351,0.624,3.04780823735423e-10,"BSX",8.28580322293493
"MA0879.3",4.42352429224126e-13,-4.19863881398905,0.351,0.624,3.04780823735423e-10,"DLX1",8.1059122708504
"MA0882.2",4.42352429224126e-13,-4.19863881398905,0.351,0.624,3.04780823735423e-10,"DLX6",8.21339747793426
"MA0890.2",4.42352429224126e-13,-4.19863881398905,0.351,0.624,3.04780823735423e-10,"GBX2",9.64758286579431
"MA0894.2",4.42352429224126e-13,-4.19863881398905,0.351,0.624,3.04780823735423e-10,"HESX1",10.1747725521649
"MA0113.4",4.43908219574732e-13,-3.15060055497675,0.363,0.673,3.0585276328699e-10,"NR3C1",18.9274296574016
"MA0792.1",1.04579905840904e-12,-2.61222282288292,0.391,0.703,7.20555551243827e-10,"POU5F1B",10.5499480121323
"MA1631.2",1.25131301090008e-12,2.37726611207607,0.705,0.366,8.62154664510157e-10,"ASCL1",11.7242071160489
"MA2120.1",1.27524012751175e-12,-3.12523555572949,0.413,0.723,8.78640447855598e-10,"ZNF184",12.5727918117006
"MA0784.3",1.46832091125423e-12,-2.57447676157501,0.399,0.683,1.01167310785416e-09,"POU1F1",19.766657446082
"MA0732.2",1.48607361388569e-12,-5.11580495252677,0.359,0.653,1.02390471996724e-09,"EGR3",17.5906181997587
"MA1549.2",1.79433286331874e-12,-3.20805014228777,0.357,0.683,1.23629534282661e-09,"POU6F1",10.4362204804577
"MA1491.3",6.75490242026875e-12,7.78866232226437,0.554,0.257,4.65412776756517e-09,"GLI3",22.2338240780884
"MA1950.2",7.40283492673215e-12,-3.66466500050199,0.342,0.634,5.10055326451845e-09,"FLI1::FOXI1",12.8920599498983
"MA0043.4",1.41049922725117e-11,-2.60833368519069,0.361,0.673,9.71833967576055e-09,"HLF",13.0949280152267
"MA0791.2",1.51610524114415e-11,-1.97372795153357,0.476,0.762,1.04459651114832e-08,"POU4F3",13.0962493066989
"MA0727.2",1.75679933847486e-11,-3.43843863842579,0.382,0.653,1.21043474420918e-08,"NR3C2",18.7648721119741
"MA0025.3",3.07267286622061e-11,-2.39907120564827,0.399,0.693,2.117071604826e-08,"NFIL3",11.318824782531
"MA1938.2",4.6381887890093e-11,-2.13340863382981,0.479,0.762,3.19571207562741e-08,"ERF::NHLH1",20.0329327253508
"MA1983.2",4.72816269212707e-11,-2.42864037607649,0.431,0.713,3.25770409487555e-08,"ZNF582",21.9035430800559
"MA0500.3",4.87412464002314e-11,-1.29811693783048,0.705,0.901,3.35827187697594e-08,"MYOG",11.599180360759
"MA1100.3",4.87412464002314e-11,-1.29811693783048,0.705,0.901,3.35827187697594e-08,"ASCL1",9.27984313594012
"MA0683.2",6.69376803514136e-11,-2.54078830298255,0.459,0.733,4.61200617621239e-08,"POU4F2",20.7066995594615
"MA0713.1",6.76861177766133e-11,-2.235770907517,0.426,0.713,4.66357351480866e-08,"PHOX2A",12.0579961572048
"MA0681.3",1.75964162711336e-10,-1.91734748124236,0.463,0.752,1.2123930810811e-07,"PHOX2B",14.4019919193493
"MA0788.1",2.282993790865e-10,-3.58080421459246,0.398,0.653,1.57298272190598e-07,"POU3F3",13.4076028191331
"MA0625.3",2.75124170978349e-10,-5.01396129622455,0.368,0.663,1.89560553804082e-07,"NFATC3",8.1135616638204
"MA1946.2",2.90335233450335e-10,-2.68533307636159,0.368,0.634,2.00040975847281e-07,"ETV5::FOXI1",13.7425547482307
"MA0632.3",3.51125701854442e-10,-3.14557236794501,0.362,0.634,2.41925608577711e-07,"TCFL5",11.1221890321959
"MA0048.3",4.17869618350662e-10,-1.44522407706043,0.706,0.891,2.87912167043606e-07,"NHLH1",12.842267112459
"MA1124.1",4.72662439649166e-10,-1.88441499167317,0.464,0.693,3.25664420918275e-07,"ZNF24",17.3892622181318
"MA0154.5",5.30413759233588e-10,4.28752890158151,0.563,0.287,3.65455080111942e-07,"EBF1",12.8633163748724
"MA0442.3",6.67306615937335e-10,4.79376455036155,0.673,0.485,4.59774258380824e-07,"SOX10",10.6409603017789
"MA1151.2",6.69319857145719e-10,-4.58426552581322,0.307,0.574,4.61161381573401e-07,"RORC",9.68774554894153
"MA1651.2",6.82551113045556e-10,-3.60971507852504,0.335,0.604,4.70277716888388e-07,"ZFP42",15.2084693755555
"MA0785.2",7.95605917765575e-10,-2.2051988020492,0.418,0.663,5.48172477340481e-07,"POU2F1",11.5231265778211
"MA1956.2",9.10378936369031e-10,-2.95551099093167,0.359,0.644,6.27251087158262e-07,"FOXO1::FLI1",17.4060509860029
"MA1972.1",1.68486637426633e-09,-1.97764361109768,0.448,0.743,1.1608729318695e-06,"ZFP14",15.0204495012652
"MA1642.2",2.53127456111499e-09,2.00719569760922,0.708,0.446,1.74404817260823e-06,"NEUROG2",10.7775682955579
"MA0613.1",3.62113027760746e-09,3.95645288902213,0.597,0.317,2.49495876127154e-06,"FOXG1",13.1850778170682
"MA0115.1",3.79213150354179e-09,5.00375736136724,0.504,0.267,2.61277860594029e-06,"NR1H2::RXRA",20.2722266432133
"MA0787.1",4.27926796178395e-09,-3.30669151583656,0.386,0.673,2.94841562566914e-06,"POU3F2",13.6856954414513
"MA0893.3",6.20516810192442e-09,-1.72595461884694,0.423,0.693,4.27536082222593e-06,"GSX2",8.46782338560145
"MA1501.2",6.20516810192442e-09,-1.72595461884694,0.423,0.693,4.27536082222593e-06,"HOXB7",10.0548138196998
"MA1519.2",6.20516810192442e-09,-1.72595461884694,0.423,0.693,4.27536082222593e-06,"LHX5",10.953214412218
"MA2093.1",6.20516810192442e-09,-1.72595461884694,0.423,0.693,4.27536082222593e-06,"HOXB1",9.19810812631025
"MA2119.1",6.20516810192442e-09,-1.72595461884694,0.423,0.693,4.27536082222593e-06,"HOXA3",9.80198059807145
"MA0805.1",6.37504754167298e-09,3.45844843802357,0.552,0.307,4.39240775621268e-06,"TBX1",12.8109898020376
"MA1530.2",8.70307356065983e-09,-2.0339675448263,0.396,0.644,5.99641768329462e-06,"NKX6-3",10.3809838959677
"MA0789.1",1.04915083853891e-08,-2.39795294143802,0.411,0.683,7.22864927753312e-06,"POU3F4",13.3671898287405
"MA0162.5",1.6068286795333e-08,-2.83555565484963,0.379,0.673,1.10710496019844e-05,"EGR1",11.5089480128741
"MA1931.1",1.6795780639653e-08,-5.96241512303658,0.303,0.505,1.15722928607209e-05,"ELK1::HOXA1",15.5207962734268
"MA0715.1",2.05695967691423e-08,-2.04456831389288,0.456,0.713,1.4172452173939e-05,"PROP1",14.8803738425941
"MA0642.3",2.39197602302096e-08,-3.76165071949422,0.326,0.594,1.64807147986144e-05,"EN2",8.94449959601543
"MA1122.2",4.48736853104592e-08,-2.95075343327512,0.385,0.634,3.09179691789064e-05,"TFDP1",10.896731821216
"MA1727.2",5.87159001345737e-08,-2.94786128368116,0.388,0.683,4.04552551927212e-05,"ZNF417",12.8630211396864
"MA0492.2",5.990053808606e-08,2.50516206584179,0.585,0.366,4.12714707412953e-05,"JUND",14.6830127398419
"MA0865.3",6.08648914428895e-08,-2.55887084814746,0.421,0.663,4.19359102041509e-05,"E2F8",10.5389796738411
"MA1150.2",6.51338871987576e-08,-2.97724436105718,0.338,0.535,4.4877248279944e-05,"RORB",9.24838735164769
"MA1718.1",6.83204706533775e-08,1.77747567072527,0.605,0.386,4.70728042801771e-05,"ZNF8",25.0792232042271
"MA1711.2",6.90488401997591e-08,-1.82506487512354,0.388,0.624,4.7574650897634e-05,"ZNF343",19.2556711053775
"MA1987.2",7.25165460287185e-08,-2.01062754907427,0.437,0.683,4.99639002137871e-05,"ZNF701",16.1910597745
"MA0597.3",9.57567986547402e-08,2.73998279648222,0.587,0.376,6.5976434273116e-05,"THAP1",10.6458475317474
"MA1487.3",1.06890175461726e-07,3.47573211115521,0.503,0.297,7.36473308931294e-05,"FOXE1",14.7108056473265
"MA0790.2",1.34598619593643e-07,-1.69468039072266,0.496,0.723,9.27384489000199e-05,"POU4F1",12.7031974131033
"MA1940.2",1.67248293007271e-07,-1.35607948127444,0.399,0.683,0.00011523407388201,"ETV2::DRGX",13.9437846953249
"MA0627.3",1.97898442898646e-07,-1.8827623349246,0.401,0.653,0.000136352027157167,"POU2F3",13.0682849150876
"MA1109.2",2.08826765279401e-07,1.83406677124068,0.701,0.446,0.000143881641277507,"NEUROD1",11.740596599878
"MA0153.2",2.25168460526602e-07,-1.69836715337901,0.454,0.703,0.000155141069302828,"HNF1B",16.2376040191889
"MA0690.3",2.82665649168202e-07,2.43515508124964,0.54,0.327,0.000194756632276891,"TBX21",13.327007355281
"MA1656.2",3.97509339441622e-07,2.89297612712605,0.533,0.307,0.000273883934875278,"ZNF449",13.1167182184974
"MA0499.3",4.9190519977009e-07,1.53276807718182,0.713,0.485,0.000338922682641592,"MYOD1",11.6357234812185
