"motif_id","motif_name","ic_score"
"MA2098.1","ZNF766",12.9269925160593
"MA2099.1","ZNF770",11.5479768918658
"MA1718.1","ZNF8",25.0792232042271
"MA2100.1","ZSCAN16",31.0022113751436
"MA2101.1","ZNF677",13.699148872033
"MA2102.1","ZBTB17",9.47097286523376
"MA1931.1","ELK1::HOXA1",15.5207962734268
"MA1957.1","HOXB2::ELK1",17.0760897765522
"MA1962.1","POU2F1::SOX2",19.9644439991034
"MA1972.1","ZFP14",15.0204495012652
"MA1980.1","ZNF418",17.5499429240643
"MA1985.1","ZNF669",15.7260204473211
"MA2117.1","FOXP4",9.48716720203484
"MA2118.1","FOXS1",10.548269276266
"MA2119.1","HOXA3",9.80198059807145
"MA2120.1","ZNF184",12.5727918117006
"MA2121.1","ZNF213",11.6773314977242
"MA0079.5","SP1",14.163556667763
"MA0509.3","RFX1",23.0829503576261
"MA0516.3","SP2",13.5320578677407
"MA0607.2","BHLHA15",13.7181894570574
"MA0685.2","SP4",14.1600293222843
"MA0740.2","KLF14",13.4455405969179
"MA0742.2","KLF12",14.312954472609
"MA0798.3","RFX3",23.0650314778116
"MA0818.2","BHLHE22",13.3804921499021
"MA0821.2","HES5",10.3837301773153
"MA0831.3","TFE3",15.3875378842124
"MA0878.3","CDX1",13.8279337452505
"MA0884.2","DUXA",15.3397419097865
"MA1511.2","KLF10",13.8754218202365
"MA1532.2","NR1D2",21.0976482341723
"MA1547.2","PITX2",12.0556890930376
"MA1563.2","SOX18",9.78637529748179
"MA1601.2","ZNF75D",16.0170649205833
"MA1633.2","BACH1",14.1078254777869
"MA2324.1","BCL11A",9.31073014479817
"MA2325.1","EPAS1",11.402380873857
"MA2326.1","IKZF2",11.2215930161247
"MA2327.1","PGR",10.1927699480485
"MA2328.1","ZBED4",11.6005324514036
"MA2329.1","ZBTB11",12.4741848636609
"MA2330.1","ZBTB24",9.61419764600314
"MA2331.1","ZNF157",23.3946935734119
"MA2332.1","ZNF175",10.9939778405997
"MA2333.1","ZNF35",8.64899532283692
"MA2334.1","ZNF547",16.494883415309
"MA2335.1","ZNF558",31.8707764150948
"MA2336.1","ZSCAN21",9.43674565857053
"MA2341.1","FEZF2",10.3026228669435
"MA0690.3","TBX21",13.327007355281
"MA1463.2","ARGFX",11.7883575472015
"MA0259.2","ARNT::HIF1A",8.13530385380971
"MA1464.2","ARNT2",12.1897260862913
"MA1100.3","ASCL1",9.27984313594012
"MA1631.2","ASCL1",11.7242071160489
"MA1632.2","ATF2",13.7129682956295
"MA0605.3","ATF3",17.0541878160233
"MA0833.3","ATF4",14.631026134923
"MA1466.2","ATF6",18.8898138690689
"MA0834.2","ATF7",16.9634577509309
"MA0496.4","MAFK",12.2073167618844
"MA1101.3","BACH2",16.3526041491268
"MA1470.2","BACH2",21.6361923168732
"MA0877.4","BARHL1",9.6805199479539
"MA0635.2","BARHL2",8.02506856168212
"MA0875.2","BARX1",8.73670989920316
