"","Astrocytes","Excitatory.Neurons","Inhibitory.Neurons","Microglia","Oligodendrocytes","OPC"
"MA0069.1",1.38440927534972,0.642146077696254,0.539796515839814,0.288868457576249,0.615800410964572,0.99705464424309
"MA0071.1",2.94026187538457,-0.000941023470045778,0.590773714480948,0.196701702329768,0.470543282152451,0.446909031867726
"MA0074.1",1.38864578836814,-0.0129435901364843,0.763387081274194,1.34142571259317,0.569031601706599,0.312616652165641
"MA0107.1",2.10729079352303,0.584094219929585,0.19913820280157,1.35816720779546,0.421755763056078,0.890469153078684
"MA0115.1",0.786171721784574,-0.249634839111632,0.313616796257323,0.911093453991579,0.855225336404795,0.0167775826743091
"MA0119.1",10.554126453415,-0.314519240040245,0.832241696377375,-0.509291410356013,0.363836509802333,0.774927517648346
"MA0149.1",1.99471193815695,0.99394230506275,0.269483761781601,0.67566762036789,0.162420160645653,1.64328950240846
"MA0155.1",1.30272187865467,0.0136759732665771,0.136196142704514,0.0402068784779812,0.609138472457772,-0.0198915513713166
"MA0159.1",0.438037061038609,-0.261388606649958,0.24871097400086,0.462097034719277,0.776597371804117,-0.0935600387805242
"MA0163.1",0.383964356463127,-0.127502974149856,0.0454560143134371,0.135498718674264,0.507715650200502,-0.140518601037316
"MA0468.1",0.657392823316566,0.699112640230834,2.08630978265452,0.897490987826968,0.51419677940125,1.05163373666837
"MA0258.2",0.69250306101909,-0.204090776100705,0.346172225336401,-0.288825478230637,0.952907769800512,-0.334819550368898
"MA0595.1",-0.21900367474088,0.205037255434398,0.43149750194687,-0.035712167903675,1.25375997492402,-0.0829855466729963
"MA0596.1",-0.376163790235236,-0.230644316449497,0.841746327967404,0.130615871257752,1.20647698612801,-0.214117674786737
"MA0599.1",0.349431976883463,0.40613626000848,-0.0114993752077449,0.815738834152555,0.133609481565701,-0.182911508148244
"MA0613.1",-0.272083091385761,-0.00990603705294958,0.595697780893238,-0.140291827853634,1.13661659913477,0.0633605808463795
"MA0636.1",2.94146900752522,1.11365298033362,0.807095603871165,1.01996994034721,0.543344638733768,0.448687473364017
"MA0641.1",2.50107133288801,3.49989720859444,5.72175926841948,192.535516637158,-0.240114466198179,0.401721904143611
"MA0042.2",0.308114781101457,-0.177135365893839,0.599642598434025,0.0767745229909785,0.966180334574122,0.419278144346068
"MA0033.2",0.308114781101457,-0.177135365893839,0.599642598434025,0.0767745229909785,0.966180334574122,0.419278144346068
"MA0153.2",0.915016223977646,0.780730434963775,1.28957673943834,0.761676840440831,0.519980147239467,1.67992989525837
"MA0486.2",2.70203099367142,1.16317848948503,0.703032323122265,1.20747167807411,0.337275215984909,0.85259706292596
"MA0653.1",1.43155905460857,1.28902560460366,0.588330244808935,34.9593578658622,0.0526155874216211,1.34300535793859
"MA0655.1",8.04594910241459,11.5110462894534,0.778486792107217,1.39481901101718,0.837829923209107,-0.046907395597063
"MA0660.1",0.310402236181806,0.735292311706064,0.869183351831514,5.31507506652221,0.568528960363493,-0.0424695807968901
"MA0663.1",2.84743828986802,0.451376755137075,0.71301595755713,2.85389199761233,0.499851843326351,0.06785839627761
"MA0665.1",-0.413979232647787,0.76029177118886,0.715799303293948,-0.40186886251439,1.25736204074725,1.66275402402164
"MA0667.1",-0.313471874500521,1.32765857732474,1.2320797985645,-0.159830313485648,1.17654314231933,0.89393716708262
"MA0669.1",-0.248342740638113,1.19243360795688,1.08587565458433,0.296889186556083,1.11732698287928,0.513872090700388
"MA0678.1",-0.0563813429176809,4.43543753691495,0.881333724408262,1.26790834399944,0.828196682217062,0.865708273930841
"MA0068.2",20.8031090847049,0.739205220027483,0.995381015330511,-0.295924806250251,0.195803850764302,3.37545621111976
"MA0083.3",0.220780065394122,0.20664441819725,1.03198307791629,0.982494093437963,0.710163225358931,0.362156627002894
"MA0009.2",0.250171769372422,1.51668306756424,0.263377920150078,0.12916577803598,1.06330271496244,0.463986015971185
"MA0689.1",0.0412107636612139,1.37923626802418,0.471012667486689,1.21211929549273,0.860820801221297,0.339339710554978
"MA0691.1",-0.233874511867508,0.91113525968595,0.623189980129852,-0.331200932147587,1.13871526489684,0.847793121444121
"MA0696.1",0.157409309236206,0.489365525978252,0.237632429394771,0.341687491585633,0.656044319031685,0.209563644766407
"MA0713.1",2.16838049950399,1.02586970375808,0.870343192730292,0.252935760116828,0.410202724924146,1.92558176703652
"MA0715.1",1.30981561847875,0.878195273750975,0.611825896554204,0.630524684061677,0.518005010180957,2.13007869146636
"MA0724.1",2.55978138899244,0.580184238981493,1.03123074831361,1.20962119883179,0.541540185108812,1.33517760940681
"MA0729.1",-0.211916453516734,-0.383921010123217,0.156539425552192,0.863360957924389,1.10011821899129,-0.392897052030011
