"","SOX10","SOX9","OLIG2","MEF2C","ERF::FOXO1"
"SOX10",1,0.461689060651167,-0.048765278830721,-0.266922974428689,-0.383387758589156
"SOX9",0.461689060651167,1,0.00802522922957696,-0.231482748781383,-0.275322245134022
"OLIG2",-0.048765278830721,0.00802522922957696,1,0.0258868338415484,0.0377199119641173
"MEF2C",-0.266922974428689,-0.231482748781383,0.0258868338415484,1,0.228514696722622
"ERF::FOXO1",-0.383387758589156,-0.275322245134022,0.0377199119641173,0.228514696722622,1
