gene	log2FC	pvalue	adj_pvalue	significant
SUSD1	-2.87121483045171	7.63463947161327e-10	2.83168778002136e-06	TRUE
ENSG00000253766	-1.19159310685727	8.67761919010191e-10	3.2185289576088e-06	TRUE
ARHGAP10	-1.93503361210129	8.76681764711292e-10	3.25161266531418e-06	TRUE
NCK1-DT	-1.12562266989721	8.81175157768278e-10	3.26827866016254e-06	TRUE
RFTN1	-7.80767982705574	9.51333173756195e-10	3.52849474146173e-06	TRUE
JAK3	-7.39873585081949	9.56199301993853e-10	3.5465432110952e-06	TRUE
PARVB	-1.10897382650744	1.02692775126519e-09	3.80887502944261e-06	TRUE
KMO	-1.39756282888571	1.032170545546e-09	3.82832055343012e-06	TRUE
TRPC3	2.06610062053725	1.03743943560044e-09	3.84786286664202e-06	TRUE
ENSG00000253880	-2.33030632817294	1.05340394725369e-09	3.90707524036393e-06	TRUE
SAMD5	3.04514650139481	1.11969165384029e-09	4.15293634409362e-06	TRUE
COL28A1	-1.82910184438663	1.23931340764722e-09	4.59661342896354e-06	TRUE
HCCS-DT	-2.41210414262336	1.3303694580759e-09	4.9343403200035e-06	TRUE
MAFB	-1.94610340542192	1.3783042879544e-09	5.11213060402287e-06	TRUE
RGS17	-4.10894431340467	1.42793485908089e-09	5.29621039233103e-06	TRUE
BMP6	-1.08592260773934	1.43516465351393e-09	5.32302569988316e-06	TRUE
ENSG00000256654	-4.68337837438962	1.53246139199488e-09	5.68389930290901e-06	TRUE
RUBCNL	-2.44900267316049	1.59550048511657e-09	5.91771129929735e-06	TRUE
ENSG00000286533	-5.29197284004878	1.73796312946735e-09	6.44610524719441e-06	TRUE
TSPAN9	-2.06459650589755	1.79114489018032e-09	6.64335639767881e-06	TRUE
THSD7B	1.4659612758113	2.14515986755209e-09	7.95639794875068e-06	TRUE
KITLG	-1.34810495547941	2.54157731206728e-09	9.42671025045754e-06	TRUE
ARHGAP28	-2.0804843230451	2.59266245091582e-09	9.61618503044676e-06	TRUE
LINC01320	6.66288045974483	2.6055891691597e-09	9.66413022841334e-06	TRUE
ARSG	-4.70100269203009	2.75199109841856e-09	1.02071349840344e-05	TRUE
